Year,Location,Division,Total_Years
1996,PPB,Western,18
1996,PPB,Eastern,6
1996,PPB,Eastern,4
1996,PPB,Eastern,6
1996,PPB,Eastern,4
1996,PPB,Eastern,1
1996,PPB,Eastern,2
1996,PPB,Western,7
1996,PPB,Eastern,2
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Western,28
1996,PPB,Western,29
1996,PPB,Western,22
1996,PPB,Western,15
1996,PPB,Western,22
1996,PPB,Eastern,1
1996,PPB,Eastern,5
1996,PPB,Eastern,3
1996,PPB,Eastern,2
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,6
1996,PPB,Eastern,1
1996,PPB,Eastern,4
1996,PPB,Eastern,5
1996,PPB,Eastern,7
1996,PPB,Eastern,11
1996,PPB,Western,17
1996,PPB,Western,32
1996,PPB,Western,40
1996,PPB,Western,1
1996,PPB,Western,0
1996,PPB,Western,9
1996,PPB,Eastern,1
1996,PPB,Eastern,0
1996,PPB,Eastern,0
1996,PPB,Eastern,1
1996,PPB,Eastern,4
1996,PPB,Eastern,3
1996,PPB,Eastern,3
1996,PPB,Eastern,3
1996,PPB,Eastern,2
1996,PPB,Eastern,1
1996,PPB,Eastern,5
1996,PPB,Eastern,5
1996,PPB,Eastern,2
1996,PPB,Eastern,9
1996,PPB,Eastern,3
1996,PPB,Eastern,3
1996,PPB,Eastern,3
1996,PPB,Eastern,2
1996,PPB,Eastern,7
1996,PPB,Eastern,10
1996,PPB,Eastern,11
1996,PPB,Eastern,1
1996,PPB,Eastern,0
1996,PPB,Eastern,0
1996,PPB,Eastern,1
1996,PPB,Eastern,4
1996,PPB,Eastern,6
1996,PPB,Eastern,3
1996,PPB,Eastern,3
1996,PPB,Eastern,2
1996,PPB,Eastern,1
1996,PPB,Eastern,2
1996,PPB,Eastern,2
1996,PPB,Eastern,17
1996,PPB,Eastern,9
1996,PPB,Eastern,7
1996,PPB,Eastern,7
1996,PPB,Eastern,2
1996,PPB,Eastern,36
1996,PPB,Eastern,3
1996,PPB,Eastern,4
1996,PPB,Eastern,5
1996,PPB,Eastern,5
1996,PPB,Eastern,4
1996,PPB,Eastern,4
1996,PPB,Eastern,3
1996,PPB,Eastern,3
1996,PPB,Eastern,2
1996,PPB,Eastern,2
1996,PPB,Western,27
1996,PPB,Eastern,4
1996,PPB,Eastern,3
1996,PPB,Eastern,2
1996,PPB,Eastern,2
1996,PPB,Eastern,2
1996,PPB,Eastern,2
1996,PPB,Eastern,2
1996,PPB,Eastern,2
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Western,29
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,0
1996,PPB,Eastern,0
1996,PPB,Eastern,0
1996,PPB,Eastern,2
1996,PPB,Eastern,1
1996,PPB,Eastern,5
1996,PPB,Eastern,3
1996,PPB,Eastern,2
1996,PPB,Eastern,2
1996,PPB,Eastern,1
1996,PPB,Eastern,2
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,0
1996,PPB,Eastern,0
1996,PPB,Eastern,1
1996,PPB,Eastern,2
1996,PPB,Eastern,5
1996,PPB,Eastern,4
1996,PPB,Eastern,3
1996,PPB,Eastern,2
1996,PPB,Eastern,2
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,8
1996,PPB,Eastern,13
1996,PPB,Eastern,5
1996,PPB,Eastern,4
1996,PPB,Eastern,4
1996,PPB,Eastern,4
1996,PPB,Eastern,4
1996,PPB,Eastern,4
1996,PPB,Eastern,3
1996,PPB,Eastern,3
1996,PPB,Eastern,3
1996,PPB,Eastern,2
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,2
1996,PPB,Eastern,2
1996,PPB,Eastern,3
1996,PPB,Eastern,4
1996,PPB,Eastern,5
1996,PPB,Eastern,7
1996,PPB,Eastern,8
1996,PPB,Eastern,5
1996,PPB,Eastern,3
1996,PPB,Eastern,1
1996,PPB,Eastern,0
1996,PPB,Eastern,2
1996,PPB,Western,13
1996,PPB,Western,14
1996,PPB,Western,29
1996,PPB,Western,12
1996,PPB,Western,32
1996,PPB,Eastern,8
1996,PPB,Eastern,1
1996,PPB,Eastern,2
1996,PPB,Eastern,5
1996,PPB,Eastern,3
1996,PPB,Eastern,3
1996,PPB,Eastern,3
1996,PPB,Eastern,3
1996,PPB,Eastern,2
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Western,8
1996,PPB,Eastern,4
1996,PPB,Eastern,4
1996,PPB,Eastern,2
1996,PPB,Eastern,2
1996,PPB,Eastern,5
1996,PPB,Western,16
1996,PPB,Eastern,0
1996,PPB,Eastern,3
1996,PPB,Western,24
1996,PPB,Western,16
1996,PPB,Western,17
1996,PPB,Western,15
1996,PPB,Western,18
1996,PPB,Eastern,3
1996,PPB,Eastern,2
1996,PPB,Western,11
1996,PPB,Western,17
1996,PPB,Western,11
1996,PPB,Eastern,2
1996,PPB,Eastern,2
1996,PPB,Eastern,2
1996,PPB,Eastern,4
1996,PPB,Western,14
1996,PPB,Eastern,1
1996,PPB,Eastern,0
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,6
1996,PPB,Western,15
1996,PPB,Eastern,2
1996,PPB,Eastern,3
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,3
1996,PPB,Eastern,3
1996,PPB,Eastern,6
1996,PPB,Eastern,3
1996,PPB,Eastern,2
1996,PPB,Eastern,0
1996,PPB,Eastern,4
1996,PPB,Eastern,6
1996,PPB,Western,11
1996,PPB,Western,29
1996,PPB,Eastern,2
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,2
1996,PPB,Eastern,7
1996,PPB,Western,0
1996,PPB,Western,8
1996,PPB,Western,10
1996,PPB,Western,15
1996,PPB,Western,26
1996,PPB,Western,12
1996,PPB,Western,15
1996,PPB,Western,24
1996,PPB,Western,15
1996,PPB,Western,18
1996,PPB,Eastern,2
1996,PPB,Eastern,1
1996,PPB,Western,22
1996,PPB,Western,13
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,2
1996,PPB,Eastern,2
1996,PPB,Eastern,2
1996,PPB,Eastern,3
1996,PPB,Eastern,4
1996,PPB,Eastern,5
1996,PPB,Eastern,6
1996,PPB,Eastern,0
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,2
1996,PPB,Eastern,2
1996,PPB,Eastern,2
1996,PPB,Eastern,2
1996,PPB,Eastern,3
1996,PPB,Eastern,4
1996,PPB,Eastern,5
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,2
1996,PPB,Western,8
1996,PPB,Eastern,0
1996,PPB,Western,16
1996,PPB,Eastern,2
1996,PPB,Eastern,1
1996,PPB,Eastern,0
1996,PPB,Eastern,1
1996,PPB,Eastern,1
1996,PPB,Eastern,2
1996,PPB,Eastern,2
1996,PPB,Western,8
1996,PPB,Western,11
1996,PPB,Western,25
1996,PPB,Eastern,1
1996,PPB,Eastern,0
1996,PPB,Eastern,0
1996,PPB,Eastern,1
1996,PPB,Western,5
1996,PPB,Eastern,0
1996,PPB,Eastern,0
1996,PPB,Eastern,1
1996,PPB,Eastern,3
1996,PPB,Eastern,3
1996,PPB,Eastern,4
1996,PPB,Eastern,2
1996,PPB,Eastern,4
1996,PPB,Eastern,0
1996,PPB,Eastern,8
1996,PPB,Eastern,3
1996,PPB,Eastern,2
1996,PPB,Eastern,2
