Year	catch	upr	lwr
1978	136.045	163.254	108.836
1979	213.377	256.0524	170.7016
1980	190.715	228.858	152.572
1981	202.638	243.1656	162.1104
1982	164.74	197.688	131.792
1983	158.587	190.3044	126.8696
1984	134.059	160.8708	107.2472
1985	125.027	150.0324	100.0216
1986	118.147	141.7764	94.5176
1987	133.556	160.2672	106.8448
1988	159.541	191.4492	127.6328
1989	155.632	186.7584	124.5056
1990	163.299	195.9588	130.6392
1991	133.666	160.3992	106.9328
1992	71.822	86.1864	57.4576
1993	66.365	79.638	53.092
1994	59.48	71.376	47.584
1995	55.233	66.2796	44.1864
1996	32.859	39.4308	26.2872
1997	47.115	56.538	37.692
1998	69.236	83.0832	55.3888
1999	60.908	73.0896	48.7264
2000	55.913	67.0956	44.7304
2001	81.644	97.9728	65.3152
2002	82.88	99.456	66.304
2003	75.87	91.044	60.696
2004	110.139	132.1668	88.1112
2005	105.039	126.0468	84.0312
2006	92.211	110.6532	73.7688
2007	108.707	130.4484	86.9656
2008	99.425	119.31	79.54
2009	91.375	109.65	73.1
2010	94.119	112.9428	75.2952
2011	188.912	226.6944	151.1296
2012	157.298	188.7576	125.8384
2013	38.725	46.47	30.98
