Year	cpue	upr	lwr
1978	22.03448276	26.44137931	17.62758621
1979	18.15354713	21.78425656	14.52283771
1980	17.55043228	21.06051873	14.04034582
1981	16.05727273	19.26872727	12.84581818
1982	9.88852459	11.86622951	7.910819672
1983	11.14392396	13.37270876	8.915139172
1984	6.631262525	7.95751503	5.30501002
1985	6.576781778	7.892138134	5.261425422
1986	6.053926206	7.264711447	4.843140965
1987	4.0105465	4.812655801	3.2084372
1988	7.094230769	8.513076923	5.675384615
1989	4.664728682	5.597674419	3.731782946
1990	2.225127551	2.670153061	1.780102041
1991	5.622508039	6.747009646	4.498006431
1992	1.296195652	1.555434783	1.036956522
1993	1.963979417	2.3567753	1.571183533
1994	2.161236424	2.593483709	1.72898914
1995	2.11360799	2.536329588	1.690886392
1996	1.275906736	1.531088083	1.020725389
1997	4.334121821	5.200946186	3.467297457
1998	5.780620155	6.936744186	4.624496124
1999	4.183088235	5.019705882	3.346470588
2000	14.57323055	17.48787666	11.65858444
2001	10.40564636	12.48677563	8.324517088
2002	10.92071197	13.10485437	8.736569579
2003	20.40202177	24.48242613	16.32161742
2004	25.36585366	30.43902439	20.29268293
2005	14.67834891	17.61401869	11.74267913
2006	19.57702128	23.49242553	15.66161702
2007	23.43660915	28.12393098	18.74928732
2008	21.28661916	25.54394299	17.02929533
2009	15.33416252	18.40099502	12.26733002
2010	24.08801956	28.90562347	19.27041565
2011	25.46923708	30.5630845	20.37538966
2012	26.73333333	32.08	21.38666667
2013	11.856423	14.2277076	9.4851384
